        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-010', quantity_sold: 4, sales_amount: 340000, cogs_amount: 187000, gross_profit: 153000 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-010', quantity_sold: 2, sales_amount: 170000, cogs_amount: 93500, gross_profit: 76500 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-010', quantity_sold: 2, sales_amount: 170000, cogs_amount: 93500, gross_profit: 76500 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'D-010', quantity_sold: 1, sales_amount: 85000, cogs_amount: 46750, gross_profit: 38250 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'D-010', quantity_sold: 2, sales_amount: 170000, cogs_amount: 93500, gross_profit: 76500 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'D-010', quantity_sold: 1, sales_amount: 85000, cogs_amount: 46750, gross_profit: 38250 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'D-010', quantity_sold: 2, sales_amount: 170000, cogs_amount: 93500, gross_profit: 76500 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-002', quantity_sold: 53, sales_amount: 132500, cogs_amount: 59625, gross_profit: 72875 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-002', quantity_sold: 52, sales_amount: 130000, cogs_amount: 58500, gross_profit: 71500 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-002', quantity_sold: 32, sales_amount: 80000, cogs_amount: 36000, gross_profit: 44000 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'D-002', quantity_sold: 31, sales_amount: 77500, cogs_amount: 34875, gross_profit: 42625 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'D-002', quantity_sold: 42, sales_amount: 105000, cogs_amount: 47250, gross_profit: 57750 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'D-002', quantity_sold: 55, sales_amount: 137500, cogs_amount: 61875, gross_profit: 75625 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'D-002', quantity_sold: 48, sales_amount: 120000, cogs_amount: 54000, gross_profit: 66000 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-008', quantity_sold: 8, sales_amount: 80000, cogs_amount: 44000, gross_profit: 36000 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-008', quantity_sold: 6, sales_amount: 60000, cogs_amount: 33000, gross_profit: 27000 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-008', quantity_sold: 7, sales_amount: 70000, cogs_amount: 38500, gross_profit: 31500 },
