        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2456000, cogs: 1194481, gross_profit: 1261519, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 29472, bank_charges: 0, total_opex: 714829, operating_profit: 546690 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2297500, cogs: 1082371, gross_profit: 1215129, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 27570, bank_charges: 10000, total_opex: 722927, operating_profit: 492202 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2045800, cogs: 1008669, gross_profit: 1037131, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 24550, bank_charges: 0, total_opex: 709907, operating_profit: 327224 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2057200, cogs: 931206, gross_profit: 1125994, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 24686, bank_charges: 0, total_opex: 710044, operating_profit: 415950 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2230700, cogs: 1061956, gross_profit: 1168744, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 26768, bank_charges: 0, total_opex: 712126, operating_profit: 456618 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2325800, cogs: 1118442, gross_profit: 1207358, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 27910, bank_charges: 0, total_opex: 713267, operating_profit: 494091 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2058200, cogs: 938344, gross_profit: 1119856, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 24698, bank_charges: 0, total_opex: 710056, operating_profit: 409800 },
        { date: '2026-02-08', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2599800, cogs: 1232757, gross_profit: 1367043, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 31198, bank_charges: 0, total_opex: 716555, operating_profit: 650488 },
        { date: '2026-02-09', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2116700, cogs: 1021961, gross_profit: 1094739, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 25400, bank_charges: 10000, total_opex: 720758, operating_profit: 373981 },
        { date: '2026-02-10', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2336700, cogs: 1137992, gross_profit: 1198708, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 28040, bank_charges: 0, total_opex: 713398, operating_profit: 485310 },
        { date: '2026-02-11', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1964400, cogs: 932024, gross_profit: 1032376, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 23573, bank_charges: 0, total_opex: 708930, operating_profit: 323446 },
