Date,Ingredient,UOM,Usage_Today,Wastage_Today,Closing_OnHand,On_Order_Qty,Reorder_Point,Reorder_Flag,Earliest_Expiry_Date,Qty_Expiring_Within_Warn,Expiry_Warn_Days,Expiry_Flag,Suggested_Action
2026-02-01,Anchovy_g,g,25,0,1115.41,0,380.14,,2026-08-29,0,14,,
2026-02-01,Beef_g,g,2820,0,9106.71,0,4770.68,,2026-04-30,0,1,,
2026-02-01,Beer_ml,ml,18420,0,748780.68,0,323929.18,,2027-03-10,0,30,,
2026-02-01,Bread_g,g,990,0,1158.9,0,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-01,Butter_g,g,380,0,2607.67,0,1195.07,,2026-05-05,0,5,,
2026-02-01,Chicken_g,g,4838,0,28846.11,0,13473.64,,2026-05-02,0,1,,
2026-02-01,Chocolate_g,g,350,0,12646.58,0,4332.19,,2026-08-25,0,14,,
2026-02-01,CookingOil_g,g,1025,0,34968.84,0,11997.95,,2026-06-29,0,14,,
2026-02-01,Cream_ml,ml,600,0,6413.42,0,4007.67,,,0,2,,
2026-02-01,Egg_count,count,19,0,118.99,0,78.85,,2026-05-10,0,5,,
2026-02-01,Flour_g,g,8870,0,218992.33,0,75954.11,,2026-06-02,0,14,,
2026-02-01,Garlic_g,g,137.6,0,409.88,0,218.99,,2026-05-03,0,1,,
2026-02-01,Lime_g,g,285,0,752.26,0,691.51,,2026-05-01,0,1,,
2026-02-01,Milk_ml,ml,5100,0,23149.32,0,16142.47,,2026-05-02,0,2,,
2026-02-01,Mint_g,g,10,0,54.11,0,42.74,,2026-05-03,0,1,,
2026-02-01,Mozzarella_g,g,4872,0,23752.44,0,16356.82,,,0,2,,
2026-02-01,Mushroom_g,g,420,0,1401.92,0,728.77,,2026-05-01,0,1,,
2026-02-01,OliveOil_g,g,464.8,0,10857.45,0,3774.08,,2026-06-29,0,14,,
2026-02-01,Onion_g,g,589,0,1799.84,0,955.53,,2026-05-03,0,1,,
2026-02-01,Parmesan_g,g,80,0,541.92,0,248.77,,2026-04-30,0,5,,
2026-02-01,Pesto_g,g,321,0,881.4,0,480.96,,2026-05-02,0,1,,
2026-02-01,Pita_g,g,360,0,4334.79,0,2012.05,,2026-05-10,0,7,,
2026-02-01,Pork_g,g,760,0,15418.63,0,6933.7,,2026-05-20,0,7,,
2026-02-01,Potato_g,g,5700,0,81004.11,0,37158.9,,2026-05-20,0,7,,
2026-02-01,Salmon_g,g,1260,0,13066.03,0,6139.73,,2026-05-19,0,7,,
2026-02-01,SauceOther_g,g,2880,0,12238.36,0,6047.34,,2026-05-05,0,1,,
2026-02-01,Seafood_g,g,1920,0,2486.47,0,2937.64,Y,2026-04-30,0,1,,REORDER
2026-02-01,Soda_ml,ml,18720,0,462052.6,0,160257.53,,2026-05-30,0,14,,
2026-02-01,Soju_ml,ml,2880,0,164002.19,0,70461.37,,2027-03-09,0,30,,
2026-02-01,Spirits_ml,ml,1215,0,56104.52,0,24201.58,,2027-03-07,0,30,,
2026-02-01,Sugar_g,g,600,0,16389.04,0,5663.01,,2027-02-28,0,14,,
2026-02-01,TomatoSauce_g,g,3024,0,4830.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-01,VegMix_g,g,4370,0,12241.64,0,6644.66,,2026-04-30,0,1,,
2026-02-01,WhiteSauce_g,g,560,0,636.71,0,797.81,Y,2026-04-30,0,1,,REORDER
2026-02-01,Wine_ml,ml,3120,0,78471.78,0,34449.86,,2027-03-07,0,30,,
2026-02-02,Anchovy_g,g,100,0,1015.41,0,380.14,,2026-08-29,0,14,,
2026-02-02,Beef_g,g,3260,0,5846.71,0,4770.68,,2026-04-30,0,1,,
2026-02-02,Beer_ml,ml,14950,0,733830.68,0,323929.18,,2027-03-10,0,30,,
2026-02-02,Bread_g,g,450,0,708.9,1000,7163.01,Y,2026-04-30,0,3,,REORDER
2026-02-02,Butter_g,g,400,0,2207.67,0,1195.07,,2026-05-05,0,5,,
2026-02-02,Chicken_g,g,7144,0,21702.11,0,13473.64,,2026-05-02,0,1,,
2026-02-02,Chocolate_g,g,535,0,12111.58,0,4332.19,,2026-08-25,0,14,,
2026-02-02,CookingOil_g,g,1275,0,33693.84,0,11997.95,,2026-06-29,0,14,,
2026-02-02,Cream_ml,ml,1260,0,5153.42,0,4007.67,,,0,2,,
2026-02-02,Egg_count,count,24,0,94.99,0,78.85,,2026-05-10,0,5,,
2026-02-02,Flour_g,g,8705,0,210287.33,0,75954.11,,2026-06-02,0,14,,
2026-02-02,Garlic_g,g,113.2,0,296.68,0,218.99,,2026-05-03,0,1,,
2026-02-02,Lime_g,g,365,0,387.26,0,691.51,Y,2026-05-01,0,1,,REORDER
2026-02-02,Milk_ml,ml,3840,0,19309.32,0,16142.47,,2026-05-02,0,2,,
2026-02-02,Mint_g,g,15,0,39.11,0,42.74,Y,2026-05-03,0,1,,REORDER
2026-02-02,Mozzarella_g,g,4728,0,19024.44,0,16356.82,,,0,2,,
2026-02-02,Mushroom_g,g,140,0,1261.92,0,728.77,,2026-05-01,0,1,,
2026-02-02,OliveOil_g,g,385.2,0,10472.25,0,3774.08,,2026-06-29,0,14,,
2026-02-02,Onion_g,g,379,0,1420.84,0,955.53,,2026-05-03,0,1,,
2026-02-02,Parmesan_g,g,100,0,441.92,0,248.77,,2026-04-30,0,5,,
2026-02-02,Pesto_g,g,239,0,642.4,0,480.96,,2026-05-02,0,1,,
2026-02-02,Pita_g,g,120,0,4214.79,0,2012.05,,2026-05-10,0,7,,
2026-02-02,Pork_g,g,1160,0,14258.63,0,6933.7,,2026-05-20,0,7,,
2026-02-02,Potato_g,g,8300,0,72704.11,0,37158.9,,2026-05-20,0,7,,
2026-02-02,Salmon_g,g,720,0,12346.03,0,6139.73,,2026-05-19,0,7,,
2026-02-02,SauceOther_g,g,3463,0,8775.36,0,6047.34,,2026-05-05,0,1,,
2026-02-02,Seafood_g,g,1500,0,2986.47,0,2937.64,,2026-04-30,0,1,,
2026-02-02,Soda_ml,ml,19140,0,442912.6,0,160257.53,,2026-05-30,0,14,,
2026-02-02,Soju_ml,ml,2160,0,161842.19,0,70461.37,,2027-03-09,0,30,,
2026-02-02,Spirits_ml,ml,1305,0,54799.52,0,24201.58,,2027-03-07,0,30,,
2026-02-02,Sugar_g,g,630,0,15759.04,0,5663.01,,2027-02-28,0,14,,
2026-02-02,TomatoSauce_g,g,3096,0,5234.41,0,5236.27,Y,2026-05-01,0,1,,REORDER
2026-02-02,VegMix_g,g,3530,0,8711.64,0,6644.66,,2026-04-30,0,1,,
2026-02-02,WhiteSauce_g,g,400,0,1236.71,0,797.81,,2026-04-30,0,1,,
2026-02-02,Wine_ml,ml,2160,0,76311.78,0,34449.86,,2027-03-07,0,30,,
2026-02-03,Anchovy_g,g,25,0,990.41,0,380.14,,2026-08-29,0,14,,
2026-02-03,Beef_g,g,2700,0,3146.71,0,4770.68,Y,2026-04-30,0,1,,REORDER
2026-02-03,Beer_ml,ml,13440,0,720390.68,0,323929.18,,2027-03-10,0,30,,
2026-02-03,Bread_g,g,630,78.9,0,1500,7163.01,Y,2026-04-30,0,3,,REORDER; SPOILAGE_WRITE_OFF
2026-02-03,Butter_g,g,350,0,1857.67,0,1195.07,,2026-05-05,0,5,,
2026-02-03,Chicken_g,g,6262,0,15440.11,0,13473.64,,2026-05-02,0,1,,
2026-02-03,Chocolate_g,g,620,0,11491.58,0,4332.19,,2026-08-25,0,14,,
2026-02-03,CookingOil_g,g,1130,0,32563.84,0,11997.95,,2026-06-29,0,14,,
2026-02-03,Cream_ml,ml,1440,0,3713.42,0,4007.67,Y,,0,2,,REORDER
2026-02-03,Egg_count,count,25,0,69.99,0,78.85,Y,2026-05-10,0,5,,REORDER
2026-02-03,Flour_g,g,6940,0,203347.33,0,75954.11,,2026-06-02,0,14,,
2026-02-03,Garlic_g,g,90.6,0,206.08,0,218.99,Y,2026-05-03,0,1,,REORDER
2026-02-03,Lime_g,g,345,0,1042.26,0,691.51,,2026-05-01,0,1,,
2026-02-03,Milk_ml,ml,2580,0,16729.32,0,16142.47,,2026-05-02,0,2,,
2026-02-03,Mint_g,g,30,0,509.11,0,42.74,,2026-05-03,0,1,,
2026-02-03,Mozzarella_g,g,3744,0,15280.44,0,16356.82,Y,,0,2,,REORDER
2026-02-03,Mushroom_g,g,560,0,701.92,0,728.77,Y,2026-05-01,0,1,,REORDER
2026-02-03,OliveOil_g,g,339.6,0,10132.65,0,3774.08,,2026-06-29,0,14,,
2026-02-03,Onion_g,g,403,0,1017.84,0,955.53,,2026-05-03,0,1,,
2026-02-03,Parmesan_g,g,80,0,361.92,0,248.77,,2026-04-30,0,5,,
2026-02-03,Pesto_g,g,226,0,416.4,0,480.96,Y,2026-05-02,0,1,,REORDER
2026-02-03,Pita_g,g,240,0,3974.79,0,2012.05,,2026-05-10,0,7,,
2026-02-03,Pork_g,g,1180,0,13078.63,0,6933.7,,2026-05-20,0,7,,
2026-02-03,Potato_g,g,6250,0,66454.11,0,37158.9,,2026-05-20,0,7,,
2026-02-03,Salmon_g,g,720,0,11626.03,0,6139.73,,2026-05-19,0,7,,
2026-02-03,SauceOther_g,g,3184,0,5591.36,0,6047.34,Y,2026-05-05,0,1,,REORDER
2026-02-03,Seafood_g,g,1648,0,1338.47,0,2937.64,Y,2026-04-30,0,1,,REORDER
2026-02-03,Soda_ml,ml,12030,0,430882.6,0,160257.53,,2026-05-30,0,14,,
2026-02-03,Soju_ml,ml,2520,0,159322.19,0,70461.37,,2027-03-09,0,30,,
2026-02-03,Spirits_ml,ml,1320,0,53479.52,0,24201.58,,2027-03-07,0,30,,
2026-02-03,Sugar_g,g,660,0,15099.04,0,5663.01,,2027-02-28,0,14,,
2026-02-03,TomatoSauce_g,g,2358,0,5876.41,0,5236.27,,2026-05-01,0,1,,
2026-02-03,VegMix_g,g,2638,0,6073.64,0,6644.66,Y,2026-04-30,0,1,,REORDER
